,@workoutActivityType,@duration,@durationUnit,@totalDistance,@totalDistanceUnit,@totalEnergyBurned,@totalEnergyBurnedUnit,@sourceName,@sourceVersion,@creationDate,@startDate,@endDate
26,Running,32.4289245168368,min,1.8419252658265761,km,251.99200000000008,kcal,@DivyeshBC Watch 2.0,3.1,2017-07-27 19:07:11+01:00,2017-07-27 18:32:03+01:00,2017-07-27 19:04:29+01:00
27,Running,38.33082583347957,min,1.948212049752765,km,344.9799999999996,kcal,@DivyeshBC Watch 2.0,3.1,2017-08-04 19:07:59+01:00,2017-08-04 18:29:33+01:00,2017-08-04 19:07:53+01:00
28,Running,16.34358621637027,min,0.94618914953887,km,125.939,kcal,@DivyeshBC Watch 2.0,3.1,2017-09-04 19:39:56+01:00,2017-09-04 19:23:08+01:00,2017-09-04 19:39:29+01:00
29,Running,26.366428616642946,min,1.1629934399955673,km,203.764,kcal,@DivyeshBC Watch 2.0,3.1,2017-09-21 18:31:18+01:00,2017-09-21 18:04:51+01:00,2017-09-21 18:31:13+01:00
34,Running,27.506910483042397,min,2.006630975109176,km,244.747,kcal,@DivyeshBC Watch 2.0,4.0,2017-10-15 09:21:40+01:00,2017-10-14 10:16:54+01:00,2017-10-14 10:44:25+01:00
39,Running,26.114125883579263,min,1.393040767775965,km,175.3280000000001,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-02 23:00:36+01:00,2017-11-02 22:34:28+01:00,2017-11-02 23:00:35+01:00
40,Running,32.22392148375511,min,2.1081028620161812,km,300.3019999999999,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-03 21:34:54+01:00,2017-11-03 21:02:39+01:00,2017-11-03 21:34:53+01:00
41,Running,30.900414349635444,min,1.9170194579424569,km,236.23800000000008,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-04 19:22:08+01:00,2017-11-04 18:51:13+01:00,2017-11-04 19:22:07+01:00
42,Running,32.530391016602515,min,1.7621730244205098,km,228.16300000000007,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-07 20:49:46+01:00,2017-11-07 20:17:13+01:00,2017-11-07 20:49:45+01:00
44,Running,24.648198067148535,min,1.870491452194401,km,200.85700000000048,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-10 20:38:18+01:00,2017-11-10 20:03:23+01:00,2017-11-10 20:38:17+01:00
45,Running,19.201014455159513,min,1.4187139105540703,km,164.4619999999999,kcal,@DivyeshBC Watch 2.0,4.0,2017-11-11 11:00:34+01:00,2017-11-11 10:18:31+01:00,2017-11-11 11:00:33+01:00
